SITE_TYPE,SITECODE,NAME,VARIABLE,VALUE,LABEL,SCORE,DATA_SRCE
ASSI,ASSI023,Glenarm Woods,Current agircultural emission density (kg NH3/ha/yr),14.1103895275945,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI057,Glenmore Wood,Current agircultural emission density (kg NH3/ha/yr),22.3532223444365,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI168,Glennasheevar,Current agircultural emission density (kg NH3/ha/yr),1.69792978831124,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI371,Gortcorbies,Current agircultural emission density (kg NH3/ha/yr),6.9355609116701,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI196,Grange Wood,Current agircultural emission density (kg NH3/ha/yr),20.6191378331193,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI160,Greenan,Current agircultural emission density (kg NH3/ha/yr),19.1113172046449,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI158,Greenan Lough,Current agircultural emission density (kg NH3/ha/yr),19.8807111562979,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI264,Hare Island,Current agircultural emission density (kg NH3/ha/yr),3.35286873854145,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI132,Heron and Carrigullian Loughs,Current agircultural emission density (kg NH3/ha/yr),7.60574093260108,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI211,Hollymount,Current agircultural emission density (kg NH3/ha/yr),8.37971090398896,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0030169,Hollymount,Current agircultural emission density (kg NH3/ha/yr),8.37972054844581,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI054,Inishroosk,Current agircultural emission density (kg NH3/ha/yr),5.38844920453938,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI324,Keadew,Current agircultural emission density (kg NH3/ha/yr),6.96443684426316,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI086,Killard,Current agircultural emission density (kg NH3/ha/yr),9.6629937759912,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI225,Killough Bay and Strand Lough,Current agircultural emission density (kg NH3/ha/yr),8.43953610607162,Moderate agricultural emissions,2,Agricultural ammonia emissions
