SITE_TYPE,NAME,SITECODE,DepType,VARIABLE,VALUE,SCORE,LABEL,DATA_SRCE
ASSI,Lough Melvin,ASSI140,Woodland,Excess Nitrogen (kg N ha-1 yr-1),8.12025301578187,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Tullybrick Lough,ASSI146,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),27.3269805908203,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Turmennan,ASSI148,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),9.47827111267997,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Aughnadarragh Lough,ASSI149,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),13.3675740758268,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Ballybannan,ASSI150,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),15.4787902832031,3,High,N Futures (2016 - 2018 baseline)
ASSI,Ballycam,ASSI151,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),6.8043632507324,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Ballynagross Lower,ASSI152,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),8.906343460083,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Ballykilbeg,ASSI153,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),11.4308066569583,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Corbally,ASSI155,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),12.0728358863476,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Carrowcarlin,ASSI156,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),7.19365004226473,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Castle Enigan,ASSI157,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),20.7010044189037,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Greenan Lough,ASSI158,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),16.3066938658643,3,High,N Futures (2016 - 2018 baseline)
ASSI,Loughmoney,ASSI159,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),8.0861072540283,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Greenan,ASSI160,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),16.5332412719727,3,High,N Futures (2016 - 2018 baseline)
ASSI,Breen Wood,ASSI161,Woodland,Excess Nitrogen (kg N ha-1 yr-1),22.6340739443456,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Straidkilly Wood,ASSI162,Woodland,Excess Nitrogen (kg N ha-1 yr-1),26.6503308100127,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Tow River Wood,ASSI163,Woodland,Excess Nitrogen (kg N ha-1 yr-1),22.0308695268186,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Craigantlet Woods,ASSI164,Woodland,Excess Nitrogen (kg N ha-1 yr-1),28.765528744726,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,McKean's Moss Part II,ASSI165,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),13.2778000227162,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Knockninny Hill,ASSI166,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),3.89756797757613,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Knockninny Hill,ASSI166,Woodland,Excess Nitrogen (kg N ha-1 yr-1),19.6136956858662,3,High,N Futures (2016 - 2018 baseline)
ASSI,Carn/Glenshane Pass,ASSI167,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),13.1360360061966,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Glennasheevar,ASSI168,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),3.29088414483236,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Leathemstown,ASSI169,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),16.4675802845354,3,High,N Futures (2016 - 2018 baseline)
ASSI,Quoile,ASSI170,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),8.05919431291047,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Quoile,ASSI170,Woodland,Excess Nitrogen (kg N ha-1 yr-1),25.2121757473072,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Altikeeragh,ASSI171,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),7.25489386313255,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Rostrevor Wood,ASSI178,Woodland,Excess Nitrogen (kg N ha-1 yr-1),26.4695503285389,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Straghans Lough,ASSI179,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),27.9561703652625,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Moyrourkan Lough,ASSI180,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),24.7086412166465,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Drumcarn,ASSI182,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),28.8707841367729,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Crossbane Lough,ASSI183,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),28.3275430799125,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Cashel Loughs,ASSI189,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),16.5667783548617,3,High,N Futures (2016 - 2018 baseline)
ASSI,Tullysranadeega,ASSI190,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0,0,No exceedance,N Futures (2016 - 2018 baseline)
