x,y,z,Dep_typ,variable
122500,648500,8.22950077056885,Low-growing semi-natural vegetation,TotN_dep
123500,648500,8.14596748352051,Low-growing semi-natural vegetation,TotN_dep
124500,648500,8.06243324279785,Low-growing semi-natural vegetation,TotN_dep
125500,648500,7.9788990020752,Low-growing semi-natural vegetation,TotN_dep
126500,648500,7.8953652381897,Low-growing semi-natural vegetation,TotN_dep
127500,648500,7.8118314743042,Low-growing semi-natural vegetation,TotN_dep
128500,648500,7.67693758010864,Low-growing semi-natural vegetation,TotN_dep
129500,648500,7.54204273223877,Low-growing semi-natural vegetation,TotN_dep
130500,648500,7.40714836120606,Low-growing semi-natural vegetation,TotN_dep
131500,648500,7.27225351333618,Low-growing semi-natural vegetation,TotN_dep
132500,648500,7.13735961914063,Low-growing semi-natural vegetation,TotN_dep
133500,648500,7.34938383102417,Low-growing semi-natural vegetation,TotN_dep
134500,648500,7.56140756607056,Low-growing semi-natural vegetation,TotN_dep
135500,648500,7.77343225479126,Low-growing semi-natural vegetation,TotN_dep
136500,648500,7.98545598983765,Low-growing semi-natural vegetation,TotN_dep
137500,648500,8.19748020172119,Low-growing semi-natural vegetation,TotN_dep
138500,648500,8.12983798980713,Low-growing semi-natural vegetation,TotN_dep
139500,648500,8.06219577789307,Low-growing semi-natural vegetation,TotN_dep
140500,648500,7.994553565979,Low-growing semi-natural vegetation,TotN_dep
141500,648500,7.92691135406494,Low-growing semi-natural vegetation,TotN_dep
142500,648500,7.85926866531372,Low-growing semi-natural vegetation,TotN_dep
143500,648500,7.87158679962158,Low-growing semi-natural vegetation,TotN_dep
144500,648500,7.88390398025513,Low-growing semi-natural vegetation,TotN_dep
145500,648500,7.89622211456299,Low-growing semi-natural vegetation,TotN_dep
146500,648500,7.90853977203369,Low-growing semi-natural vegetation,TotN_dep
147500,648500,7.92085695266724,Low-growing semi-natural vegetation,TotN_dep
148500,648500,7.9129695892334,Low-growing semi-natural vegetation,TotN_dep
