ID,NAME,Dep_typ,VARIABLE,VALUE,LABEL,SCORE,DATA_SRCE
ASSI045,Rathlin Island - Ballycarry,Low-growing semi-natural vegetation,% total N deposition from Europe,19.2640831561516,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI045,Rathlin Island - Ballycarry,Low-growing semi-natural vegetation,% total N deposition from NI,56.6577299378176,Major contributions from NI sources,3,Source Attribution 2012
ASSI048,Corraslough Point,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,66.794921123509,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI048,Corraslough Point,Low-growing semi-natural vegetation,% total N deposition from Europe,33.6501901140684,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI048,Corraslough Point,Low-growing semi-natural vegetation,% total N deposition from NI,51.300780468281,Major contributions from NI sources,3,Source Attribution 2012
ASSI051,Lough Foyle,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,67.3267670240232,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI051,Lough Foyle,Low-growing semi-natural vegetation,% total N deposition from Europe,24.755857925266,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI051,Lough Foyle,Low-growing semi-natural vegetation,% total N deposition from NI,58.7960714797981,Major contributions from NI sources,3,Source Attribution 2012
ASSI054,Inishroosk,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,73.3005423130281,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI054,Inishroosk,Low-growing semi-natural vegetation,% total N deposition from Europe,27.7072138088259,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI054,Inishroosk,Low-growing semi-natural vegetation,% total N deposition from NI,62.9864842859469,Major contributions from NI sources,3,Source Attribution 2012
ASSI055,Crockaghole Wood,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,76.0545414391568,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI055,Crockaghole Wood,Low-growing semi-natural vegetation,% total N deposition from Europe,22.7829090685754,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI055,Crockaghole Wood,Low-growing semi-natural vegetation,% total N deposition from NI,59.8130121691413,Major contributions from NI sources,3,Source Attribution 2012
ASSI056,Drumlea and Mullan Woods,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,80.17916167313,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI056,Drumlea and Mullan Woods,Low-growing semi-natural vegetation,% total N deposition from Europe,21.805743154572,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI056,Drumlea and Mullan Woods,Low-growing semi-natural vegetation,% total N deposition from NI,63.1093611208776,Major contributions from NI sources,3,Source Attribution 2012
ASSI057,Glenmore Wood,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,83.8622444921658,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI057,Glenmore Wood,Low-growing semi-natural vegetation,% total N deposition from Europe,14.6475256769374,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI057,Glenmore Wood,Low-growing semi-natural vegetation,% total N deposition from NI,77.6552287581699,Major contributions from NI sources,3,Source Attribution 2012
ASSI058,Strabane Glen,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,79.6807204257061,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI058,Strabane Glen,Low-growing semi-natural vegetation,% total N deposition from Europe,16.3127471858838,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI058,Strabane Glen,Low-growing semi-natural vegetation,% total N deposition from NI,76.470946151506,Major contributions from NI sources,3,Source Attribution 2012
ASSI059,Altmover Glen,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,83.7888990843267,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI059,Altmover Glen,Low-growing semi-natural vegetation,% total N deposition from Europe,15.3965861008926,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI059,Altmover Glen,Low-growing semi-natural vegetation,% total N deposition from NI,73.9151255139349,Major contributions from NI sources,3,Source Attribution 2012
ASSI060,Ness Wood,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,75.4379494744606,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI060,Ness Wood,Low-growing semi-natural vegetation,% total N deposition from Europe,20.25685931115,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI060,Ness Wood,Low-growing semi-natural vegetation,% total N deposition from NI,66.5109943568788,Major contributions from NI sources,3,Source Attribution 2012
ASSI061,Ervey Wood,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,75.4379494744606,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI061,Ervey Wood,Low-growing semi-natural vegetation,% total N deposition from Europe,20.25685931115,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI061,Ervey Wood,Low-growing semi-natural vegetation,% total N deposition from NI,66.5109943568788,Major contributions from NI sources,3,Source Attribution 2012
ASSI062,Owenkillew and Glenelly Woods,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,80.0245861510807,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI062,Owenkillew and Glenelly Woods,Low-growing semi-natural vegetation,% total N deposition from Europe,19.7431556428952,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI062,Owenkillew and Glenelly Woods,Low-growing semi-natural vegetation,% total N deposition from NI,68.3091089048475,Major contributions from NI sources,3,Source Attribution 2012
ASSI063,Slievenacloy,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,19.6729338033686,Minor contributions from NI Agriculture,1,Source Attribution 2012
ASSI063,Slievenacloy,Low-growing semi-natural vegetation,% total N deposition from Europe,10.2251978088862,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI063,Slievenacloy,Low-growing semi-natural vegetation,% total N deposition from NI,78.2714546561169,Major contributions from NI sources,3,Source Attribution 2012
ASSI064,Banagher Glen,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,80.0413909871271,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI064,Banagher Glen,Low-growing semi-natural vegetation,% total N deposition from Europe,20.5874735163359,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI064,Banagher Glen,Low-growing semi-natural vegetation,% total N deposition from NI,61.8786355144059,Major contributions from NI sources,3,Source Attribution 2012
ASSI065,Pettigoe Plateau,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,43.7912858053379,Substantial contribution from NI Agriculture,2,Source Attribution 2012
ASSI065,Pettigoe Plateau,Low-growing semi-natural vegetation,% total N deposition from Europe,42.4331932515074,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI065,Pettigoe Plateau,Low-growing semi-natural vegetation,% total N deposition from NI,37.3254785054057,Substantial contribution from NI sources,2,Source Attribution 2012
ASSI067,Garron Plateau,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,79.2390467309116,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI067,Garron Plateau,Low-growing semi-natural vegetation,% total N deposition from Europe,17.8588698062555,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI067,Garron Plateau,Low-growing semi-natural vegetation,% total N deposition from NI,59.8145766929219,Major contributions from NI sources,3,Source Attribution 2012
ASSI068,Magilligan,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,65.9317443799813,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI068,Magilligan,Low-growing semi-natural vegetation,% total N deposition from Europe,26.9826006659865,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI068,Magilligan,Low-growing semi-natural vegetation,% total N deposition from NI,52.3522789856265,Major contributions from NI sources,3,Source Attribution 2012
ASSI069,Cuilcagh Mountain,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,45.2354045053457,Substantial contribution from NI Agriculture,2,Source Attribution 2012
ASSI069,Cuilcagh Mountain,Low-growing semi-natural vegetation,% total N deposition from Europe,48.241449713273,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI069,Cuilcagh Mountain,Low-growing semi-natural vegetation,% total N deposition from NI,32.3177721272338,Substantial contribution from NI sources,2,Source Attribution 2012
ASSI070,Tattenamona Bog,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,73.2315978456014,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI070,Tattenamona Bog,Low-growing semi-natural vegetation,% total N deposition from Europe,31.0894189151856,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI070,Tattenamona Bog,Low-growing semi-natural vegetation,% total N deposition from NI,54.8577217054977,Major contributions from NI sources,3,Source Attribution 2012
ASSI071,Upper Lough Erne - Crom,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,58.3790608773187,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI071,Upper Lough Erne - Crom,Low-growing semi-natural vegetation,% total N deposition from Europe,39.3330786157374,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI071,Upper Lough Erne - Crom,Low-growing semi-natural vegetation,% total N deposition from NI,48.9598357066013,Substantial contribution from NI sources,2,Source Attribution 2012
ASSI074,Curran Bog,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,84.6556786471735,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI074,Curran Bog,Low-growing semi-natural vegetation,% total N deposition from Europe,12.8087407868806,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI074,Curran Bog,Low-growing semi-natural vegetation,% total N deposition from NI,76.3407859052765,Major contributions from NI sources,3,Source Attribution 2012
ASSI077,Slieve Beagh,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,67.851030608533,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI077,Slieve Beagh,Low-growing semi-natural vegetation,% total N deposition from Europe,29.8975915762051,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI077,Slieve Beagh,Low-growing semi-natural vegetation,% total N deposition from NI,55.7873011314945,Major contributions from NI sources,3,Source Attribution 2012
ASSI078,Kilroosky Lough,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,66.5404996214989,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI078,Kilroosky Lough,Low-growing semi-natural vegetation,% total N deposition from Europe,33.7218013818363,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI078,Kilroosky Lough,Low-growing semi-natural vegetation,% total N deposition from NI,57.1464247065679,Major contributions from NI sources,3,Source Attribution 2012
ASSI079,Derryleckagh,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,70.8260668189862,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI079,Derryleckagh,Low-growing semi-natural vegetation,% total N deposition from Europe,22.4741850172641,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI079,Derryleckagh,Low-growing semi-natural vegetation,% total N deposition from NI,64.653080224572,Major contributions from NI sources,3,Source Attribution 2012
ASSI080,Summerhill Lough,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,66.5404996214989,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI080,Summerhill Lough,Low-growing semi-natural vegetation,% total N deposition from Europe,33.7218013818363,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI080,Summerhill Lough,Low-growing semi-natural vegetation,% total N deposition from NI,57.1464247065679,Major contributions from NI sources,3,Source Attribution 2012
ASSI081,Burdautien Lough,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,66.5404996214989,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI081,Burdautien Lough,Low-growing semi-natural vegetation,% total N deposition from Europe,33.7218013818363,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI081,Burdautien Lough,Low-growing semi-natural vegetation,% total N deposition from NI,57.1464247065679,Major contributions from NI sources,3,Source Attribution 2012
ASSI086,Killard,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,74.7301215408414,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI086,Killard,Low-growing semi-natural vegetation,% total N deposition from Europe,21.4849723953349,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI086,Killard,Low-growing semi-natural vegetation,% total N deposition from NI,59.7194560905168,Major contributions from NI sources,3,Source Attribution 2012
ASSI087,Ballyquintin Point,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,69.7918692861311,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI087,Ballyquintin Point,Low-growing semi-natural vegetation,% total N deposition from Europe,24.5047988564427,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI087,Ballyquintin Point,Low-growing semi-natural vegetation,% total N deposition from NI,54.1351848070247,Major contributions from NI sources,3,Source Attribution 2012
